x,y,F1,F2
    0.9700840484E+00,    0.5000000001E-06,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1000465155E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1501861053E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2004654148E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2509312193E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3016304676E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3526103259E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4039182211E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4556018856E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5077094012E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.5602892439E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6133903295E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.6670620584E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7213543618E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.7763177486E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8320033518E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.8884629761E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.9457491465E-05,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1003915157E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1063015120E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1123104017E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1184237749E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1246473189E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1309868236E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1374481867E-04,    0.1000000000E+01,    0.1000000000E+01
