x,y,mut
 9.700000000E-01, 0.000000000E+00, 0.000000000E+00
 9.700000000E-01, 5.000000001E-07, 6.192749981E-11
 9.700000000E-01, 1.000465155E-06, 2.258720782E-09
 9.700000000E-01, 1.501861053E-06, 2.228889164E-08
 9.700000000E-01, 2.004654148E-06, 1.149838163E-07
 9.700000000E-01, 2.509312193E-06, 4.092739849E-07
 9.700000000E-01, 3.016304676E-06, 1.150088212E-06
 9.700000000E-01, 3.526103259E-06, 2.747414554E-06
 9.700000000E-01, 4.039182211E-06, 5.833673665E-06
 9.700000000E-01, 4.556018856E-06, 1.133098077E-05
 9.700000000E-01, 5.077094012E-06, 2.053020349E-05
 9.700000000E-01, 5.602892439E-06, 3.518403607E-05
 9.700000000E-01, 6.133903295E-06, 5.761662574E-05
 9.700000000E-01, 6.670620584E-06, 9.085260721E-05
 9.700000000E-01, 7.213543618E-06, 1.387687222E-04
 9.700000000E-01, 7.763177486E-06, 2.062715119E-04
 9.700000000E-01, 8.320033518E-06, 2.995048493E-04
 9.700000000E-01, 8.884629761E-06, 4.260913033E-04
 9.700000000E-01, 9.457491465E-06, 5.954114518E-04
 9.700000000E-01, 1.003915157E-05, 8.189252462E-04
 9.700000000E-01, 1.063015120E-05, 1.110539304E-03
 9.700000000E-01, 1.123104017E-05, 1.487023498E-03
 9.700000000E-01, 1.184237749E-05, 1.968479328E-03
 9.700000000E-01, 1.246473189E-05, 2.578861195E-03
 9.700000000E-01, 1.309868236E-05, 3.346549754E-03
 9.700000000E-01, 1.374481867E-05, 4.304973862E-03
 9.700000000E-01, 1.440374193E-05, 5.493274213E-03
 9.700000000E-01, 1.507606513E-05, 6.956997464E-03
 9.700000000E-01, 1.576241375E-05, 8.748804505E-03
 9.700000000E-01, 1.646342630E-05, 1.092917069E-02
 9.700000000E-01, 1.717975495E-05, 1.356704946E-02
 9.700000000E-01, 1.791206609E-05, 1.674046424E-02
 9.700000000E-01, 1.866104102E-05, 2.053698776E-02
 9.700000000E-01, 1.942737650E-05, 2.505406295E-02
 9.700000000E-01, 2.021178547E-05, 3.039911768E-02
 9.700000000E-01, 2.101499767E-05, 3.668942648E-02
 9.700000000E-01, 2.183776033E-05, 4.405167819E-02
 9.700000000E-01, 2.268083889E-05, 5.262121947E-02
 9.700000000E-01, 2.354501766E-05, 6.254096101E-02
 9.700000000E-01, 2.443110060E-05, 7.395995507E-02
 9.700000000E-01, 2.533991204E-05, 8.703167920E-02
 9.700000000E-01, 2.627229746E-05, 1.019120883E-01
 9.700000000E-01, 2.722912427E-05, 1.187575232E-01
 9.700000000E-01, 2.821128261E-05, 1.377225833E-01
 9.700000000E-01, 2.921968619E-05, 1.589580843E-01
 9.700000000E-01, 3.025527315E-05, 1.826092183E-01
 9.700000000E-01, 3.131900689E-05, 2.088140243E-01
 9.700000000E-01, 3.241187703E-05, 2.377022506E-01
 9.700000000E-01, 3.353490026E-05, 2.693946573E-01
 9.700000000E-01, 3.468912136E-05, 3.040027730E-01
 9.700000000E-01, 3.587561410E-05, 3.416290792E-01
 9.700000000E-01, 3.709548228E-05, 3.823675700E-01
 9.700000000E-01, 3.834986078E-05, 4.263046066E-01
 9.700000000E-01, 3.963991653E-05, 4.735199797E-01
 9.700000000E-01, 4.096684971E-05, 5.240880859E-01
 9.700000000E-01, 4.233189477E-05, 5.780791333E-01
 9.700000000E-01, 4.373632161E-05, 6.355603010E-01
 9.700000000E-01, 4.518143681E-05, 6.965967949E-01
 9.700000000E-01, 4.666858475E-05, 7.612527561E-01
 9.700000000E-01, 4.819914896E-05, 8.295919946E-01
 9.700000000E-01, 4.977455332E-05, 9.016785330E-01
 9.700000000E-01, 5.139626346E-05, 9.775769560E-01
 9.700000000E-01, 5.306578807E-05, 1.054368774E+00
 9.700000000E-01, 5.478468032E-05, 1.133268408E+00
 9.700000000E-01, 5.655453931E-05, 1.216153251E+00
 9.700000000E-01, 5.837701157E-05, 1.303497957E+00
 9.700000000E-01, 6.025379256E-05, 1.395531073E+00
 9.700000000E-01, 6.218662827E-05, 1.492438083E+00
 9.700000000E-01, 6.417731683E-05, 1.594399010E+00
 9.700000000E-01, 6.622771021E-05, 1.701595940E+00
 9.700000000E-01, 6.833971589E-05, 1.814214887E+00
 9.700000000E-01, 7.051529871E-05, 1.932446631E+00
 9.700000000E-01, 7.275648264E-05, 2.056487463E+00
 9.700000000E-01, 7.506535266E-05, 2.186540020E+00
 9.700000000E-01, 7.744405674E-05, 2.322814053E+00
 9.700000000E-01, 7.989480782E-05, 2.465526295E+00
 9.700000000E-01, 8.241988585E-05, 2.614896454E+00
 9.700000000E-01, 8.502163994E-05, 2.771159788E+00
 9.700000000E-01, 8.770249053E-05, 2.934576695E+00
 9.700000000E-01, 9.046493164E-05, 3.105416435E+00
 9.700000000E-01, 9.331153320E-05, 3.283960256E+00
 9.700000000E-01, 9.624494343E-05, 3.470492059E+00
 9.700000000E-01, 9.926789131E-05, 3.665261232E+00
 9.700000000E-01, 1.023831891E-04, 3.868372620E+00
 9.700000000E-01, 1.055937351E-04, 4.079488850E+00
 9.700000000E-01, 1.089025159E-04, 4.297064821E+00
 9.700000000E-01, 1.123126099E-04, 4.516452350E+00
 9.700000000E-01, 1.158271895E-04, 4.741208005E+00
