# Flat plate skin friction coefficient as a function of Re-theta,
# from Karman-Schoenherr formula
retheta,cf
  200.000, 0.00648403
  400.000, 0.00534778
  600.000, 0.00481703
  800.000, 0.00448717
 1000.000, 0.00425420
 1200.000, 0.00407711
 1400.000, 0.00393590
 1600.000, 0.00381946
 1800.000, 0.00372100
 2000.000, 0.00363612
 2200.000, 0.00356183
 2400.000, 0.00349599
 2600.000, 0.00343702
 2800.000, 0.00338375
 3000.000, 0.00333527
 3200.000, 0.00329085
 3400.000, 0.00324994
 3600.000, 0.00321206
 3800.000, 0.00317684
 4000.000, 0.00314396
 4200.000, 0.00311316
 4400.000, 0.00308421
 4600.000, 0.00305693
 4800.000, 0.00303115
 5000.000, 0.00300672
 5200.000, 0.00298353
 5400.000, 0.00296147
 5600.000, 0.00294045
 5800.000, 0.00292037
 6000.000, 0.00290117
 6200.000, 0.00288278
 6400.000, 0.00286514
 6600.000, 0.00284820
 6800.000, 0.00283190
 7000.000, 0.00281622
 7200.000, 0.00280110
 7400.000, 0.00278651
 7600.000, 0.00277242
 7800.000, 0.00275879
 8000.000, 0.00274561
 8200.000, 0.00273285
 8400.000, 0.00272048
 8600.000, 0.00270848
 8800.000, 0.00269684
 9000.000, 0.00268553
 9200.000, 0.00267453
 9400.000, 0.00266384
 9600.000, 0.00265344
 9800.000, 0.00264331
10000.000, 0.00263344
10200.000, 0.00262382
10400.000, 0.00261443
10600.000, 0.00260528
10800.000, 0.00259634
11000.000, 0.00258761
11200.000, 0.00257909
11400.000, 0.00257075
11600.000, 0.00256260
11800.000, 0.00255462
12000.000, 0.00254682
12200.000, 0.00253918
12400.000, 0.00253170
12600.000, 0.00252437
12800.000, 0.00251718
13000.000, 0.00251014
13200.000, 0.00250323
13400.000, 0.00249646
13600.000, 0.00248981
13800.000, 0.00248329
14000.000, 0.00247688
14200.000, 0.00247060
14400.000, 0.00246442
14600.000, 0.00245835
14800.000, 0.00245238
15000.000, 0.00244652
15200.000, 0.00244075
15400.000, 0.00243508
15600.000, 0.00242950
15800.000, 0.00242401
16000.000, 0.00241861
16200.000, 0.00241330
16400.000, 0.00240806
16600.000, 0.00240291
16800.000, 0.00239784
17000.000, 0.00239284
17200.000, 0.00238791
17400.000, 0.00238306
17600.000, 0.00237827
17800.000, 0.00237356
18000.000, 0.00236891
18200.000, 0.00236432
18400.000, 0.00235980
18600.000, 0.00235534
18800.000, 0.00235095
19000.000, 0.00234660
19200.000, 0.00234232
19400.000, 0.00233809
19600.000, 0.00233392
19800.000, 0.00232980
20000.000, 0.00232574
