x,y,sdr,tke
 9.701266289E-01, 2.499999994E-07, 1.775782704E+00, 4.235049377E-12
 9.701266289E-01, 7.502325730E-07, 3.267767429E-01, 1.171751030E-10
 9.701266289E-01, 1.251163098E-06, 1.147087440E-01, 7.633899068E-10
 9.701266289E-01, 1.753257607E-06, 5.545510352E-02, 2.635421437E-09
 9.701266289E-01, 2.256983180E-06, 3.205581754E-02, 6.569216282E-09
 9.701266289E-01, 2.762808435E-06, 2.069866657E-02, 1.350472623E-08
 9.701266289E-01, 3.271203923E-06, 1.439439598E-02, 2.447663050E-08
 9.701266289E-01, 3.782642807E-06, 1.055239141E-02, 4.061521963E-08
 9.701266289E-01, 4.297600753E-06, 8.045337163E-03, 6.315202228E-08
 9.701266289E-01, 4.816556611E-06, 6.322044414E-03, 9.342831220E-08
 9.701266289E-01, 5.339993095E-06, 5.088137463E-03, 1.329058108E-07
 9.701266289E-01, 5.868397693E-06, 4.175149370E-03, 1.831790968E-07
 9.701266289E-01, 6.402261988E-06, 3.481165506E-03, 2.459896677E-07
 9.701266289E-01, 6.942082109E-06, 2.941660117E-03, 3.232414372E-07
 9.701266289E-01, 7.488360552E-06, 2.514196327E-03, 4.170177590E-07
 9.701266289E-01, 8.041605724E-06, 2.169950632E-03, 5.295994470E-07
 9.701266289E-01, 8.602331945E-06, 1.888797269E-03, 6.634844567E-07
 9.701266289E-01, 9.171060810E-06, 1.656342763E-03, 8.214080935E-07
 9.701266289E-01, 9.748321645E-06, 1.462074695E-03, 1.006364869E-06
 9.701266289E-01, 1.033465105E-05, 1.298171584E-03, 1.221629759E-06
 9.701266289E-01, 1.093059564E-05, 1.158717321E-03, 1.470780944E-06
 9.701266289E-01, 1.153670928E-05, 1.039170194E-03, 1.757720725E-06
 9.701266289E-01, 1.215355496E-05, 9.359972319E-04, 2.086696895E-06
 9.701266289E-01, 1.278170748E-05, 8.464162238E-04, 2.462319799E-06
 9.701266289E-01, 1.342175074E-05, 7.682122523E-04, 2.889578354E-06
 9.701266289E-01, 1.407428044E-05, 6.996038719E-04, 3.373849040E-06
 9.701266289E-01, 1.473990324E-05, 6.391450297E-04, 3.920899417E-06
 9.701266289E-01, 1.541924030E-05, 5.856515490E-04, 4.536881534E-06
 9.701266289E-01, 1.611291918E-05, 5.381458905E-04, 5.228313967E-06
 9.701266289E-01, 1.682159018E-05, 4.958150093E-04, 6.002050213E-06
 9.701266289E-01, 1.754590994E-05, 4.579777597E-04, 6.865225714E-06
 9.701266289E-01, 1.828655331E-05, 4.240596609E-04, 7.825190551E-06
 9.701266289E-01, 1.904420787E-05, 3.935731074E-04, 8.889408491E-06
 9.701266289E-01, 1.981958121E-05, 3.661016817E-04, 1.006534148E-05
 9.701266289E-01, 2.061339183E-05, 3.412876395E-04, 1.136029368E-05
 9.701266289E-01, 2.142637823E-05, 3.188220435E-04, 1.278123818E-05
 9.701266289E-01, 2.225929893E-05, 2.984367602E-04, 1.433461512E-05
 9.701266289E-01, 2.311292883E-05, 2.798978239E-04, 1.602610246E-05
 9.701266289E-01, 2.398805918E-05, 2.630004019E-04, 1.786038229E-05
 9.701266289E-01, 2.488550672E-05, 2.475643996E-04, 1.984089977E-05
 9.701266289E-01, 2.580610453E-05, 2.334309247E-04, 2.196963214E-05
 9.701266289E-01, 2.675071119E-05, 2.204595512E-04, 2.424688319E-05
 9.701266289E-01, 2.772020343E-05, 2.085259039E-04, 2.667111949E-05
 9.701266289E-01, 2.871548350E-05, 1.975197229E-04, 2.923885586E-05
 9.701266289E-01, 2.973747905E-05, 1.873431902E-04, 3.194462261E-05
 9.701266289E-01, 3.078714144E-05, 1.779096347E-04, 3.478099097E-05
 9.701266289E-01, 3.186544200E-05, 1.691422513E-04, 3.773868957E-05
 9.701266289E-01, 3.297338844E-05, 1.609731553E-04, 4.080678627E-05
 9.701266289E-01, 3.411201033E-05, 1.533424074E-04, 4.397293378E-05
 9.701266289E-01, 3.528236630E-05, 1.461971697E-04, 4.722367885E-05
 9.701266289E-01, 3.648554775E-05, 1.394909923E-04, 5.054476787E-05
 9.701266289E-01, 3.772267155E-05, 1.331831299E-04, 5.392151797E-05
 9.701266289E-01, 3.899488729E-05, 1.272378286E-04, 5.733912622E-05
 9.701266289E-01, 4.030338459E-05, 1.216237652E-04, 6.078298975E-05
 9.701266289E-01, 4.164937127E-05, 1.163135603E-04, 6.423898594E-05
