x,y,sdr,tke
    0.9700840484E+00,    0.5000000001E-06,    0.1051279727E+01,    0.6070507731E-10
    0.9700840484E+00,    0.1000465155E-05,    0.2207427573E+00,    0.4402824880E-09
    0.9700840484E+00,    0.1501861053E-05,    0.8508192716E-01,    0.1699405703E-08
    0.9700840484E+00,    0.2004654148E-05,    0.4375546136E-01,    0.4602319037E-08
    0.9700840484E+00,    0.2509312193E-05,    0.2637724257E-01,    0.1003697156E-07
    0.9700840484E+00,    0.3016304676E-05,    0.1754653145E-01,    0.1899067851E-07
    0.9700840484E+00,    0.3526103259E-05,    0.1247339405E-01,    0.3254592525E-07
    0.9700840484E+00,    0.4039182211E-05,    0.9298864233E-02,    0.5188362050E-07
    0.9700840484E+00,    0.4556018856E-05,    0.7183690679E-02,    0.7829016820E-07
    0.9700840484E+00,    0.5077094012E-05,    0.5705090866E-02,    0.1131670634E-06
    0.9700840484E+00,    0.5602892439E-05,    0.4631643350E-02,    0.1580424517E-06
    0.9700840484E+00,    0.6133903295E-05,    0.3828157372E-02,    0.2145843756E-06
    0.9700840484E+00,    0.6670620584E-05,    0.3211412808E-02,    0.2846155552E-06
    0.9700840484E+00,    0.7213543618E-05,    0.2727928242E-02,    0.3701296051E-06
    0.9700840484E+00,    0.7763177486E-05,    0.2342073474E-02,    0.4733086071E-06
    0.9700840484E+00,    0.8320033518E-05,    0.2029373944E-02,    0.5965419456E-06
    0.9700840484E+00,    0.8884629761E-05,    0.1772570032E-02,    0.7424462829E-06
    0.9700840484E+00,    0.9457491465E-05,    0.1559208753E-02,    0.9138864962E-06
    0.9700840484E+00,    0.1003915157E-04,    0.1380123165E-02,    0.1113997321E-05
    0.9700840484E+00,    0.1063015120E-04,    0.1228444461E-02,    0.1346205342E-05
    0.9700840484E+00,    0.1123104017E-04,    0.1098943780E-02,    0.1614250835E-05
    0.9700840484E+00,    0.1184237749E-04,    0.9875837478E-03,    0.1922208798E-05
    0.9700840484E+00,    0.1246473189E-04,    0.8912067400E-03,    0.2274508302E-05
    0.9700840484E+00,    0.1309868236E-04,    0.8073142325E-03,    0.2675949039E-05
    0.9700840484E+00,    0.1374481867E-04,    0.7339080505E-03,    0.3131713665E-05
    0.9700840484E+00,    0.1440374193E-04,    0.6693744434E-03,    0.3647374202E-05
    0.9700840484E+00,    0.1507606513E-04,    0.6123982733E-03,    0.4228890421E-05
    0.9700840484E+00,    0.1576241375E-04,    0.5618987022E-03,    0.4882597771E-05
    0.9700840484E+00,    0.1646342630E-04,    0.5169804357E-03,    0.5615182086E-05
    0.9700840484E+00,    0.1717975495E-04,    0.4768963718E-03,    0.6433638035E-05
    0.9700840484E+00,    0.1791206609E-04,    0.4410187083E-03,    0.7345208171E-05
    0.9700840484E+00,    0.1866104102E-04,    0.4088163963E-03,    0.8357299492E-05
    0.9700840484E+00,    0.1942737650E-04,    0.3798374032E-03,    0.9477374821E-05
    0.9700840484E+00,    0.2021178547E-04,    0.3536946576E-03,    0.1071281708E-04
    0.9700840484E+00,    0.2101499767E-04,    0.3300548405E-03,    0.1207076576E-04
    0.9700840484E+00,    0.2183776033E-04,    0.3086293950E-03,    0.1355792673E-04
    0.9700840484E+00,    0.2268083889E-04,    0.2891672817E-03,    0.1518035869E-04
    0.9700840484E+00,    0.2354501766E-04,    0.2714491144E-03,    0.1694324232E-04
    0.9700840484E+00,    0.2443110060E-04,    0.2552823991E-03,    0.1885064126E-04
    0.9700840484E+00,    0.2533991204E-04,    0.2404976529E-03,    0.2090526653E-04
    0.9700840484E+00,    0.2627229746E-04,    0.2269452322E-03,    0.2310825842E-04
    0.9700840484E+00,    0.2722912427E-04,    0.2144927274E-03,    0.2545900141E-04
    0.9700840484E+00,    0.2821128261E-04,    0.2030228124E-03,    0.2795498707E-04
    0.9700840484E+00,    0.2921968619E-04,    0.1924314548E-03,    0.3059173847E-04
    0.9700840484E+00,    0.3025527315E-04,    0.1826264108E-03,    0.3336280603E-04
    0.9700840484E+00,    0.3131900689E-04,    0.1735259429E-03,    0.3625983982E-04
    0.9700840484E+00,    0.3241187703E-04,    0.1650577087E-03,    0.3927273734E-04
    0.9700840484E+00,    0.3353490026E-04,    0.1571577839E-03,    0.4238985999E-04
    0.9700840484E+00,    0.3468912136E-04,    0.1497697869E-03,    0.4559830597E-04
    0.9700840484E+00,    0.3587561410E-04,    0.1428440856E-03,    0.4888422324E-04
    0.9700840484E+00,    0.3709548228E-04,    0.1363370700E-03,    0.5223314409E-04
    0.9700840484E+00,    0.3834986078E-04,    0.1302104825E-03,    0.5563032258E-04
    0.9700840484E+00,    0.3963991653E-04,    0.1244307998E-03,    0.5906105755E-04
    0.9700840484E+00,    0.4096684971E-04,    0.1189686640E-03,    0.6251098706E-04
    0.9700840484E+00,    0.4233189477E-04,    0.1137983620E-03,    0.6596634367E-04
    0.9700840484E+00,    0.4373632161E-04,    0.1088973521E-03,    0.6941416425E-04
    0.9700840484E+00,    0.4518143681E-04,    0.1042458383E-03,    0.7284245170E-04
    0.9700840484E+00,    0.4666858475E-04,    0.9982639002E-04,    0.7624028946E-04
    0.9700840484E+00,    0.4819914896E-04,    0.9562360625E-04,    0.7959791199E-04
    0.9700840484E+00,    0.4977455332E-04,    0.9162382173E-04,    0.8290673644E-04
    0.9700840484E+00,    0.5139626346E-04,    0.8781463753E-04,    0.8615953139E-04
    0.9700840484E+00,    0.5306578807E-04,    0.8418332311E-04,    0.8935153154E-04
    0.9700840484E+00,    0.5478468032E-04,    0.8071671956E-04,    0.9248040972E-04
    0.9700840484E+00,    0.5655453931E-04,    0.7740358546E-04,    0.9554313832E-04
    0.9700840484E+00,    0.5837701157E-04,    0.7423488515E-04,    0.9853532168E-04
    0.9700840484E+00,    0.6025379256E-04,    0.7120269656E-04,    0.1014529323E-03
    0.9700840484E+00,    0.6218662827E-04,    0.6829992355E-04,    0.1042925910E-03
    0.9700840484E+00,    0.6417731683E-04,    0.6552015378E-04,    0.1070515935E-03
    0.9700840484E+00,    0.6622771021E-04,    0.6285755410E-04,    0.1097278871E-03
    0.9700840484E+00,    0.6833971589E-04,    0.6030678419E-04,    0.1123200327E-03
    0.9700840484E+00,    0.7051529871E-04,    0.5786292376E-04,    0.1148271619E-03
    0.9700840484E+00,    0.7275648264E-04,    0.5552141154E-04,    0.1172489305E-03
    0.9700840484E+00,    0.7506535266E-04,    0.5327799447E-04,    0.1195854711E-03
    0.9700840484E+00,    0.7744405674E-04,    0.5112868592E-04,    0.1218373463E-03
    0.9700840484E+00,    0.7989480782E-04,    0.4906973135E-04,    0.1240055027E-03
    0.9700840484E+00,    0.8241988585E-04,    0.4709757904E-04,    0.1260912289E-03
    0.9700840484E+00,    0.8502163994E-04,    0.4520885851E-04,    0.1280961145E-03
    0.9700840484E+00,    0.8770249053E-04,    0.4340036760E-04,    0.1300220079E-03
    0.9700840484E+00,    0.9046493164E-04,    0.4166906110E-04,    0.1318709822E-03
    0.9700840484E+00,    0.9331153320E-04,    0.4001203976E-04,    0.1336453095E-03
    0.9700840484E+00,    0.9624494343E-04,    0.3842653999E-04,    0.1353474397E-03
    0.9700840484E+00,    0.9926789131E-04,    0.3690991854E-04,    0.1369799882E-03
    0.9700840484E+00,    0.1023831891E-03,    0.3545961885E-04,    0.1385457365E-03
    0.9700840484E+00,    0.1055937351E-03,    0.3407308964E-04,    0.1400476590E-03
    0.9700840484E+00,    0.1089025159E-03,    0.3274758780E-04,    0.1414889959E-03
    0.9700840484E+00,    0.1123126099E-03,    0.3147987471E-04,    0.1428733257E-03
    0.9700840484E+00,    0.1158271895E-03,    0.3026656793E-04,    0.1442041077E-03
    0.9700840484E+00,    0.1194495242E-03,    0.2910485065E-04,    0.1454838161E-03
    0.9700840484E+00,    0.1231829841E-03,    0.2799234429E-04,    0.1467142246E-03
    0.9700840484E+00,    0.1270310424E-03,    0.2692678484E-04,    0.1478970753E-03
    0.9700840484E+00,    0.1309972789E-03,    0.2590601726E-04,    0.1490340736E-03
    0.9700840484E+00,    0.1350853835E-03,    0.2492799021E-04,    0.1501268842E-03
    0.9700840484E+00,    0.1392991595E-03,    0.2399075107E-04,    0.1511771278E-03
    0.9700840484E+00,    0.1436425268E-03,    0.2309244115E-04,    0.1521863782E-03
    0.9700840484E+00,    0.1481195263E-03,    0.2223129122E-04,    0.1531561610E-03
    0.9700840484E+00,    0.1527343229E-03,    0.2140561708E-04,    0.1540879526E-03
    0.9700840484E+00,    0.1574912098E-03,    0.2061381559E-04,    0.1549831787E-03
    0.9700840484E+00,    0.1623946124E-03,    0.1985436073E-04,    0.1558432151E-03
    0.9700840484E+00,    0.1674490923E-03,    0.1912579990E-04,    0.1566693869E-03
    0.9700840484E+00,    0.1726593518E-03,    0.1842675027E-04,    0.1574629694E-03
    0.9700840484E+00,    0.1780302381E-03,    0.1775589545E-04,    0.1582251885E-03
    0.9700840484E+00,    0.1835667477E-03,    0.1711198218E-04,    0.1589572215E-03
    0.9700840484E+00,    0.1892740313E-03,    0.1649381728E-04,    0.1596601982E-03
    0.9700840484E+00,    0.1951573985E-03,    0.1590026468E-04,    0.1603352019E-03
    0.9700840484E+00,    0.2012223227E-03,    0.1533024259E-04,    0.1609832705E-03
    0.9700840484E+00,    0.2074744460E-03,    0.1478272085E-04,    0.1616053976E-03
    0.9700840484E+00,    0.2139195848E-03,    0.1425671836E-04,    0.1622025340E-03
    0.9700840484E+00,    0.2205637353E-03,    0.1375130062E-04,    0.1627755891E-03
    0.9700840484E+00,    0.2274130784E-03,    0.1326557745E-04,    0.1633254318E-03
    0.9700840484E+00,    0.2344739863E-03,    0.1279870078E-04,    0.1638528921E-03
    0.9700840484E+00,    0.2417530277E-03,    0.1234986251E-04,    0.1643587625E-03
    0.9700840484E+00,    0.2492569744E-03,    0.1191829259E-04,    0.1648437989E-03
    0.9700840484E+00,    0.2569928074E-03,    0.1150325706E-04,    0.1653087224E-03
    0.9700840484E+00,    0.2649677234E-03,    0.1110405627E-04,    0.1657542200E-03
    0.9700840484E+00,    0.2731891416E-03,    0.1072002321E-04,    0.1661809463E-03
    0.9700840484E+00,    0.2816647104E-03,    0.1035052180E-04,    0.1665895244E-03
    0.9700840484E+00,    0.2904023148E-03,    0.9994945432E-05,    0.1669805470E-03
    0.9700840484E+00,    0.2994100835E-03,    0.9652715463E-05,    0.1673545776E-03
    0.9700840484E+00,    0.3086963964E-03,    0.9323279829E-05,    0.1677121517E-03
