u,y
   0.000000E+00,   0.000000E+00
   0.334565E-02,   0.500000E-06
   0.669441E-02,   0.100047E-05
   0.100494E-01,   0.150186E-05
   0.134137E-01,   0.200465E-05
   0.167905E-01,   0.250931E-05
   0.201830E-01,   0.301630E-05
   0.235942E-01,   0.352610E-05
   0.270273E-01,   0.403918E-05
   0.304856E-01,   0.455602E-05
   0.339722E-01,   0.507709E-05
   0.374904E-01,   0.560289E-05
   0.410434E-01,   0.613390E-05
   0.446345E-01,   0.667062E-05
   0.482669E-01,   0.721354E-05
   0.519441E-01,   0.776318E-05
   0.556692E-01,   0.832003E-05
   0.594458E-01,   0.888463E-05
   0.632771E-01,   0.945749E-05
   0.671665E-01,   0.100392E-04
   0.711173E-01,   0.106302E-04
   0.751330E-01,   0.112310E-04
   0.792167E-01,   0.118424E-04
   0.833718E-01,   0.124647E-04
   0.876015E-01,   0.130987E-04
   0.919088E-01,   0.137448E-04
   0.962968E-01,   0.144037E-04
   0.100768E+00,   0.150761E-04
   0.105326E+00,   0.157624E-04
   0.109971E+00,   0.164634E-04
   0.114707E+00,   0.171798E-04
   0.119535E+00,   0.179121E-04
   0.124457E+00,   0.186610E-04
   0.129472E+00,   0.194274E-04
   0.134581E+00,   0.202118E-04
   0.139783E+00,   0.210150E-04
   0.145078E+00,   0.218378E-04
   0.150462E+00,   0.226808E-04
   0.155933E+00,   0.235450E-04
   0.161488E+00,   0.244311E-04
   0.167121E+00,   0.253399E-04
   0.172827E+00,   0.262723E-04
   0.178600E+00,   0.272291E-04
   0.184432E+00,   0.282113E-04
   0.190316E+00,   0.292197E-04
   0.196244E+00,   0.302553E-04
   0.202207E+00,   0.313190E-04
   0.208197E+00,   0.324119E-04
   0.214204E+00,   0.335349E-04
   0.220220E+00,   0.346891E-04
   0.226236E+00,   0.358756E-04
   0.232244E+00,   0.370955E-04
   0.238237E+00,   0.383499E-04
   0.244208E+00,   0.396399E-04
   0.250150E+00,   0.409669E-04
   0.256058E+00,   0.423319E-04
   0.261926E+00,   0.437363E-04
   0.267750E+00,   0.451814E-04
   0.273526E+00,   0.466686E-04
   0.279252E+00,   0.481991E-04
   0.284924E+00,   0.497746E-04
   0.290540E+00,   0.513963E-04
   0.296104E+00,   0.530658E-04
   0.301619E+00,   0.547847E-04
   0.307087E+00,   0.565545E-04
