# u+ vs. y+ at Re-theta = 10000, from Coles velocity law
# along with van Driest damping near wall
# (see Bardina et al, NASA TM 110446, April 1997)
yp,up
0.9000367726807091E+00,   0.9000052331841983E+00
0.1000040858534121E+01,   0.9999874316874835E+00
0.1100044944387533E+01,   0.1099958986329417E+01
0.1200049030240945E+01,   0.1199916460851876E+01
0.1300053116094358E+01,   0.1299855768000203E+01
0.1400057201947770E+01,   0.1399772120880344E+01
0.1500061287801182E+01,   0.1499659986896612E+01
0.1600065373654594E+01,   0.1599513044592757E+01
0.1700069459508006E+01,   0.1699324143757102E+01
0.1800073545361418E+01,   0.1799085269188155E+01
0.1900077631214830E+01,   0.1898787508547488E+01
0.2000081717068242E+01,   0.1998421024753199E+01
0.2100085802921654E+01,   0.2097975033386554E+01
0.2200089888775067E+01,   0.2197437785590930E+01
0.2300093974628479E+01,   0.2296796556948951E+01
0.2400098060481891E+01,   0.2396037642802674E+01
0.2500102146335303E+01,   0.2495146360463232E+01
0.2600106232188715E+01,   0.2594107058708570E+01
0.2700110318042127E+01,   0.2692903134949244E+01
0.2800114403895539E+01,   0.2791517060289588E+01
0.2900118489748952E+01,   0.2889930412731597E+01
0.3000122575602364E+01,   0.2988123918599748E+01
0.3100126661455776E+01,   0.3086077502177732E+01
0.3200130747309188E+01,   0.3183770343424080E+01
0.3300134833162600E+01,   0.3281180943503809E+01
0.3400138919016012E+01,   0.3378287197738727E+01
0.3500143004869424E+01,   0.3475066475443573E+01
0.3600147090722837E+01,   0.3571495705983389E+01
0.3700151176576249E+01,   0.3667551470262328E+01
0.3800155262429661E+01,   0.3763210096741602E+01
0.3900159348283073E+01,   0.3858447760986795E+01
0.4000163434136485E+01,   0.3953240587667074E+01
0.4100167519989897E+01,   0.4047564753873453E+01
0.4200171605843309E+01,   0.4141396592592271E+01
0.4300175691696722E+01,   0.4234712695165381E+01
0.4400179777550133E+01,   0.4327490011589108E+01
0.4500183863403546E+01,   0.4419705947551013E+01
0.4600187949256958E+01,   0.4511338457173422E+01
0.4700192035110370E+01,   0.4602366130524077E+01
0.4800196120963782E+01,   0.4692768275062963E+01
0.4900200206817194E+01,   0.4782524990318210E+01
0.5000204292670606E+01,   0.4871617235216606E+01
0.5100208378524019E+01,   0.4960026887609472E+01
0.5200212464377430E+01,   0.5047736795807532E+01
0.5300216550230843E+01,   0.5134730821765976E+01
0.5400220636084255E+01,   0.5220993876065958E+01
0.5500224721937667E+01,   0.5306511944727467E+01
0.5600228807791079E+01,   0.5391272108057443E+01
0.5700232893644491E+01,   0.5475262551842068E+01
